rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
filter fraction minimum	filter_fraction_minimum			filter_fraction_minimum	-	process				
filter fraction maximum	filter_fraction_maximum			filter_max	FILTER_MAX	process				
filter fraction minimum	filter_fraction_minimum			filter_min	FILTER_MIN	process				
filter type	filter_type		categorical	filter_type	Filter Type	process		built environment	filter type	
filter type	filter_type		categorical	filter_type	Filter Type - (null)	process		built environment	filter type	
filter type	filter_type		???	filter_type_m	Filter Type - (M)	process		built environment	filter type	
isolation and growth condition	isolation_growth			isolation	Isolation	process		core	isolation and growth condition	
library accession	library_acc			library_acc	LIBRARY_ACC	process				
isolation and growth condition	isolation_growth			method_of_isolation	method of isolation	process		core	isolation and growth condition	
number of stations sampled	num_stations_sampled			number_of_stations_sampled	number of stations sampled	process			move to project	
need to check the data				time_hour	Time - (hour)	process			???	
volume filtered	volume_filtered			volume_filtered	-	process				
				biomaterial_name	BIOMATERIAL_NAME	specimen				
negative charge			mM	charge__mmol	Charge(-) - (mMol)	specimen				
positive charge			mM	charge_mmol	Charge(+) - (mMol)	specimen				
dna type (check SO)	dna_type			dna_type	DNA_TYPE	specimen				
				external_sample_id	-	specimen				
				genbank_acc	-	specimen				
				material_acc	MATERIAL_ACC	specimen			source_mat_id	
				material_id	MATERIAL_ID	specimen				
organism count				organism_count	-	biological		multi	organism count	
				sample_acc	SAMPLE_ACC	specimen		core	source_mat_id	
				sample_description	SAMPLE_DESCRIPTION	specimen				
				sample_id	-	specimen				
				sample_material	-	specimen				
				sample_name	SAMPLE_NAME	specimen				
				sample_type	Sample Type	specimen				
sample volume	sample_volume			sample_volume	SAMPLE_VOLUME	specimen				
				taxon_id	TAXON_ID	specimen				
turbidity	turbidity	Nephelometric Turbidity Units (NTU)		turbidity_ntu	Turbidity - (ntu)	environment				
turbidity	turbidity		umol/kg	turbidity_umol_kg	Turbidity - (umol/kg)	environment		none	none	
volume filtered	volume_filtered		l	volume_filtered_l	volume filtered - (L)	specimen		multi	sample volume or weight for DNA extraction	
sample volume	sample_volume		l	volume_l	volume - (L)	specimen				
				volume_unit	VOLUME_UNIT	specimen				
				class	-	taxon				
				family	-	taxon				
				genus	-	taxon				
				host_taxon_id	host taxon ID	taxon		host-associated	host taxid	
				host_taxon_id	HOST_TAXON_ID	taxon				
				phylum	-	taxon				
				prelim_ncbi_taxon_id	-	taxon				
				species	-	taxon				
				strain	-	taxon				
				superkingdom	-	taxon				
				torder	-	taxon				
				atmospheric_general_weather	atmospheric/general weather	weather		none	none	
				atmospheric_wind_speed_m_s	atmospheric/wind speed - (m/s)	weather		air	wind speed	
